400 m
63.53;3r2;None;04.07.2019;Sion;SVM Junior Liga; 
800 m
141.51;4r3;None;08.06.2019;Zofingen;44. Pfingstmeeting;Limite erfüllt
141.63;6r2;None;29.06.2019;Nottwil;Bonus-Track Meeting;Limite erfüllt
142.63;21;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
146.15;2r1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
147.39;7h3;None;23.08.2019;Basel;SM Aktive;Limite erfüllt
147.65;6r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
1000 m
188.51;6r2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
1500 m
305.3;1r2;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
309.01;5r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
Hoch
1.4;4;None;17.08.2019;Langenthal;Nachwuchs SVM; 
Kugel 3.00 kg
9.42;5;None;27.04.2019;6330 Cham;40. Eröffnungsmeeting; 
Speer 500 gr
27.5;5;None;27.04.2019;6330 Cham;40. Eröffnungsmeeting; 
