200 m
27.36;3r3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
100 m Hürden 84.0
16.77;5r1;None;01.06.2019;Hochdorf;SVM NLC und PL; 
100 m Hürden 76.2
14.86;1r2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
15.32;5A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
15.65;3h2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
20.29;4r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
Hoch
1.55;8;None;01.06.2019;Hochdorf;SVM NLC und PL; 
1.55;2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
1.55;2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
