60 m
8.09;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
8.14;7;None;31.08.2019;Zürich;UBS Kids Cup; 
8.18;1;None;10.04.2019;Tenero;UBS Kids Cup; 
8.18;1;None;19.05.2019;Liebefeld;UBS Kids Cup; 
8.2;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
80 m
10.38;4A;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
10.42;2A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
10.44;6h1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.44;1qf2;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
10.46;2sf3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
10.47;4A;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.51;4h5;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.54;3r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
10.59;2h6;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
10.61;1h2;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.65;1A;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.75;6r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
10.76;2r2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
10.78;1h3;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
600 m
101.50999999999999;4h2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
105.45;4h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
1000 m
196.55;41;None;16.08.2019;Langnau i.E;Kantonalfinal MilLE GRUYÈRE Bern; 
198.86;2r1;None;14.09.2019;Wohlen;Nachwuchs SVM; 
198.88;11;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
211.89;5r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Hoch
1.3;17;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Weit
4.88;3;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
4.76;17;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
4.72;19;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
4.65;10;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
Weit Zone
5.25;1;None;19.05.2019;Liebefeld;UBS Kids Cup; 
5.19;7;None;31.08.2019;Zürich;UBS Kids Cup; 
5.11;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.97;1;None;10.04.2019;Tenero;UBS Kids Cup; 
4.97;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
Kugel 3.00 kg
9.78;4;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
9.72;5;None;14.09.2019;Wohlen;Nachwuchs SVM; 
9.19;5;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Speer 600 gr
28.51;7;None;04.07.2019;Sion;SVM Junior Liga; 
Speer 400 gr
31.72;7;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
31.57;3;None;14.09.2019;Wohlen;Nachwuchs SVM; 
Ball 200 g
50.19;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
49.25;7;None;31.08.2019;Zürich;UBS Kids Cup; 
43.82;1;None;10.04.2019;Tenero;UBS Kids Cup; 
43.74;1;None;19.05.2019;Liebefeld;UBS Kids Cup; 
41.67;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
UBS Kids Cup
2313.0;7;None;31.08.2019;Zürich;UBS Kids Cup;Limite erfüllt
2294.0;2;None;25.08.2019;Interlaken;UBS Kids Cup;Limite erfüllt
2232.0;1;None;19.05.2019;Liebefeld;UBS Kids Cup;Limite erfüllt
2173.0;1;None;10.04.2019;Tenero;UBS Kids Cup; 
2168.0;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
