100 m
12.85;8h4;None;23.08.2019;Basel;SM Aktive; 
12.86;1h2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
13.04;4r3;None;03.08.2019;Bern;CITIUS Meeting; 
13.1;3r2;None;04.07.2019;Sion;SVM Junior Liga; 
13.19;4A;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
13.2;7sf2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
13.38;3h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
13.44;4r1;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
150 m
20.03;2r4;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
200 m
26.54;1r5;None;17.08.2019;Meilen;OZB-Meeting & -Championships; 
26.55;2h6;None;08.09.2019;Düdingen;SM U16/U18; 
27.35;6r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
27.86;6r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
300 m
43.75;4r4;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
44.43;5r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
Weit
5.54;3;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
5.35;4;None;10.08.2019;Regensdorf;Abendmeeting; 
5.34;1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
5.31;19;None;07.07.2019;Bulle;Meeting de la Gruyère; 
5.19;18;None;07.09.2019;Düdingen;SM U16/U18; 
5.17;9;None;10.06.2019;Basel;Susanne Meier Memorial; 
5.12;9;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
5.01;3;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Drei
11.13;12;None;14.09.2019;Bern;Team SM;Limite erfüllt
