80 m
10.11;2r1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
10.14;2A;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
10.15;2sf2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.16;1h2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.17;4A;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.19;1sf1;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
10.38;1h2;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
100 m
12.81;1r4;None;06.08.2019;Olten;Abendmeeting; 
12.87;33;None;10.08.2019;Regensdorf;Abendmeeting; 
13.07;52;None;10.08.2019;Regensdorf;Abendmeeting; 
