100 m
12.72;4r8;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
13.08;6r1;None;27.04.2019;6330 Cham;40. Eröffnungsmeeting; 
Hoch
1.75;2;None;27.04.2019;6330 Cham;40. Eröffnungsmeeting;Limite erfüllt
1.75;5;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
1.75;1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
1.6;3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
Kugel 5.00 kg
12.11;1;None;02.07.2019;Olten;Abendmeeting; 
11.78;3;None;27.04.2019;6330 Cham;40. Eröffnungsmeeting; 
Speer 700 gr
40.86;3;None;27.04.2019;6330 Cham;40. Eröffnungsmeeting; 
38.68;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
