400 m
55.39;3r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
55.66;3r3;None;04.07.2019;Sion;SVM Junior Liga; 
56.02;4r4;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
800 m
128.88;2r3;None;02.07.2019;Olten;Abendmeeting; 
130.59;5r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
130.73;2r2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
131.02;7r2;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
1000 m
170.89;4r1;None;04.05.2019;Olten;Eröffnungsmeeting; 
1500 m
267.25;6h1;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
268.55;75;None;10.08.2019;Regensdorf;Abendmeeting;Limite erfüllt
274.31;10r2;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
303.8;6r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
3000 m
637.71;14r1;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
641.6;51;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
