400 m
53.42;1r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
800 m
121.06;2r2;None;01.06.2019;Hochdorf;SVM NLC und PL;Limite erfüllt
122.63;8r3;None;03.08.2019;Bern;CITIUS Meeting;Limite erfüllt
123.16;2r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
1000 m
163.7;1r1;None;05.05.2019;Delémont;Meeting d'ouverture - Delémont Athlétisme; 
1500 m
253.92;7A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
254.68;54;None;10.08.2019;Regensdorf;Abendmeeting;Limite erfüllt
257.17;41;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
261.46;1r1;None;30.06.2019;Bern;SVM Nachwuchs BERN;Limite erfüllt
267.99;2h2;None;07.09.2019;Düdingen;SM U16/U18; 
