60 m
8.18;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.34;12;None;31.08.2019;Zürich;UBS Kids Cup; 
8.42;1;None;29.06.2019;Zofingen;UBS Kids Cup; 
8.43;1;None;18.05.2019;Langenthal;UBS Kids Cup; 
8.62;1;None;25.05.2019;Kirchberg;UBS Kids Cup; 
80 m
10.72;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
10.77;1h6;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.33;5r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
1000 m
202.82;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
80 m Hürden 76.2
13.38;3r2;None;02.07.2019;Olten;Abendmeeting; 
13.8;2r4;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Hoch
1.45;3;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
1.45;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
1.45;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
1.4;6;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
1.35;11;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
Weit
4.89;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
4.87;1;None;02.07.2019;Olten;Abendmeeting; 
4.78;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
4.75;9;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
4.68;1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
4.51;22;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Weit Zone
5.03;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
5.02;1;None;29.06.2019;Zofingen;UBS Kids Cup; 
4.96;12;None;31.08.2019;Zürich;UBS Kids Cup; 
4.82;1;None;25.05.2019;Kirchberg;UBS Kids Cup; 
4.77;1;None;18.05.2019;Langenthal;UBS Kids Cup; 
Kugel 3.00 kg
9.37;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Speer 400 gr
41.8;4;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
38.73;2;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
38.21;2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
37.42;1;None;30.06.2019;Bern;SVM Nachwuchs BERN;Limite erfüllt
36.82;3;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
36.08;2;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
36.0;2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
33.88;5;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Ball 200 g
58.42;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
54.17;1;None;29.06.2019;Zofingen;UBS Kids Cup; 
51.33;12;None;31.08.2019;Zürich;UBS Kids Cup; 
50.35;1;None;25.05.2019;Kirchberg;UBS Kids Cup; 
49.36;1;None;18.05.2019;Langenthal;UBS Kids Cup; 
Fünfkampf U16 W
3190.0;14;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
UBS Kids Cup
2404.0;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
2270.0;1;None;29.06.2019;Zofingen;UBS Kids Cup; 
2238.0;12;None;31.08.2019;Zürich;UBS Kids Cup; 
2139.0;1;None;18.05.2019;Langenthal;UBS Kids Cup; 
2114.0;1;None;25.05.2019;Kirchberg;UBS Kids Cup; 
