100 m
12.06;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
12.31;5h9;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
12.37;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
12.38;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
200 m
24.84;3r5;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
300 m
42.23;1r1;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
400 m
55.99;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
56.97;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
57.72;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
1500 m
299.4;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
302.14;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
318.72;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
110 m Hürden 91.4
15.8;3r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
16.0;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
16.17;4r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
16.19;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
16.21;4r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
16.39;5r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
16.54;61;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
16.57;4r1;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
16.58;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
16.89;2r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Hoch
1.75;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
1.7;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.7;5;None;10.06.2019;Basel;Susanne Meier Memorial; 
1.7;13;None;14.09.2019;Bern;Team SM; 
1.65;5;None;17.08.2019;Langenthal;Nachwuchs SVM; 
1.64;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
Stab
4.3;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
4.2;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
4.1;6;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
4.1;1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
4.1;4;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
4.0;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
4.0;2;None;10.06.2019;Basel;Susanne Meier Memorial;Limite erfüllt
4.0;6;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
4.0;6;None;01.08.2019;Frauenkappelen;15. Stabhochsprungmeeting;Limite erfüllt
3.8;1;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»;Limite erfüllt
3.8;8;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
3.8;8;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
3.7;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting;Limite erfüllt
3.6;3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
3.6;9;None;16.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting;Limite erfüllt
Weit
5.99;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
5.74;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
5.73;20;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
5.52;19;None;04.07.2019;Sion;SVM Junior Liga; 
5.47;10;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
5.37;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
5.08;7;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
Kugel 5.00 kg
11.55;8;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
11.34;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
11.09;3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
10.81;3;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
10.79;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
10.51;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Diskus 1.50 kg
37.64;5;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
33.34;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
33.17;1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
32.62;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
31.88;3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
30.52;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Speer 700 gr
39.85;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
39.5;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
38.95;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
37.72;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
36.92;11;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Zehnkampf U18 M
