1500 m
241.72;82;None;10.08.2019;Regensdorf;Abendmeeting;Limite erfüllt
245.54;31;None;08.09.2019;Winterthur;SM U20/U23;Limite erfüllt
246.31;11r1;None;29.06.2019;Nottwil;Bonus-Track Meeting;Limite erfüllt
3000 m
513.09;5r1;None;01.06.2019;Lausanne;SVM NLA/CSI LNA;Limite erfüllt
5000 m
887.9;101;None;23.08.2019;Basel;SM Aktive; 
890.13;4zf3;None;06.07.2019;Regensburg, GER;Sparkassengala und Laufnacht; 
890.13;12;None;06.07.2019;Regensburg, GER;Sparkassen Gala; 
906.83;11;None;07.09.2019;Winterthur;SM U20/U23; 
3000 m Steeple
577.4;19zf;None;18.05.2019;Karlsruhe, GER;4. Laufnacht; 
588.28;5r1;None;15.06.2019;Thun;SM 10000m/Steeple; 
