100 m
12.09;2A;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
12.19;1h2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
12.24;1A;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
12.25;3r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
12.35;2r1;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
12.48;1sf2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
12.55;1h6;None;07.09.2019;Düdingen;SM U16/U18; 
200 m
25.1;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
25.28;5h2;None;24.08.2019;Basel;SM Aktive;Limite erfüllt
25.33;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
800 m
145.61;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
150.12;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 84.0
13.92;6A;None;24.08.2019;Basel;SM Aktive; 
14.06;4sf2;None;24.08.2019;Basel;SM Aktive; 
14.19;3r1;None;14.09.2019;Bern;Team SM; 
14.23;2h5;None;24.08.2019;Basel;SM Aktive; 
14.25;1r3;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
14.83;2r1;None;04.07.2019;Sion;SVM Junior Liga; 
100 m Hürden 76.2
13.46;1h;None;25.07.2019;Baku, AZE;EYOF;Limite erfüllt
13.63;3f;None;27.07.2019;Baku, AZE;EYOF;Limite erfüllt
13.65;1r1;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
13.65;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
13.66;1A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
13.75;1r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
13.78;1r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
13.95;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
13.99;1r1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
14.06;1sf1;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
14.09;1r1;None;04.05.2019;Düdingen;Frühjahrsmeeting;Limite erfüllt
14.27;1h6;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
Hoch
1.74;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
1.65;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
Weit
5.49;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
5.47;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
5.21;1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
4.91;2;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
Kugel 3.00 kg
11.48;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
10.7;4;None;17.08.2019;Langenthal;Nachwuchs SVM; 
10.64;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Speer 500 gr
35.11;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
32.61;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Siebenkampf U18 W
5435.0;1;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
5137.0;1;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
