60 m
8.67;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.83;4;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
8.83;4;None;20.05.2019;Langnau i.E.;UBS Kids Cup; 
80 m
11.07;4A;None;12.05.2019;Langnau i.E.;Die schnällschte Ämmitaler; 
11.1;4h1;None;12.05.2019;Langnau i.E.;Die schnällschte Ämmitaler; 
11.12;6qf1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
11.2;4h2;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
600 m
101.83;6h1;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
102.87;5A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
104.18;3h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
106.66;7r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
1000 m
188.69;131;None;22.09.2019;Locarno, stadio Lido;Finale CH Mille Gruyère; 
194.95;31;None;16.08.2019;Langnau i.E;Kantonalfinal MilLE GRUYÈRE Bern; 
200.2;21;None;12.05.2019;Langnau i.E.;Die schnällschte Ämmitaler; 
Weit Zone
4.46;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.31;4;None;20.05.2019;Langnau i.E.;UBS Kids Cup; 
4.28;4;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
Ball 200 g
41.14;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
38.1;4;None;20.05.2019;Langnau i.E.;UBS Kids Cup; 
33.74;4;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
UBS Kids Cup
1883.0;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
1760.0;4;None;20.05.2019;Langnau i.E.;UBS Kids Cup; 
1685.0;4;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
