100 m
14.7;6r1;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
200 m
29.94;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
800 m
167.4;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 76.2
16.26;3r2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
16.35;2r2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
16.42;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
17.36;3r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
Hoch
1.6;4;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
1.55;1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
1.5;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.5;15;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
1.45;5;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
1.45;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
1.45;19;None;07.09.2019;Düdingen;SM U16/U18; 
Weit
4.52;19;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
4.45;15;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
4.12;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Kugel 3.00 kg
9.2;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Speer 500 gr
15.23;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Siebenkampf U18 W
3276.0;25;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
