400 m
55.23;2r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
600 m
87.68;3h3;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
88.0;7A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
89.3;7r4;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
89.53999999999999;3r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
89.9;4A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
90.76;11;None;10.08.2019;Regensdorf;Abendmeeting;Limite erfüllt
92.92;2h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
800 m
126.74;2r3;None;01.06.2019;Hochdorf;SVM NLC und PL; 
1000 m
160.61;51;None;22.09.2019;Locarno, stadio Lido;Finale CH Mille Gruyère;Limite erfüllt
163.35;21;None;16.08.2019;Langnau i.E;Kantonalfinal MilLE GRUYÈRE Bern;Limite erfüllt
164.23;4;None;09.07.2019;Luzern;Spitzen Leichtathletik Luzern;Limite erfüllt
165.01;1r1;None;25.05.2019;Thun;Die Schnällschtä Thuner;Limite erfüllt
168.1;1r1;None;05.05.2019;Delémont;Meeting d'ouverture - Delémont Athlétisme;Limite erfüllt
