400 m
55.46;2r3;None;04.07.2019;Sion;SVM Junior Liga; 
400 m Hürden 91.4
61.77;1r4;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
Weit
6.04;3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
6.01;6;None;04.07.2019;Sion;SVM Junior Liga; 
5.87;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
Drei
12.89;3;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
12.28;11;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
Kugel 5.00 kg
12.9;1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
12.84;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
12.35;2;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Diskus 1.50 kg
31.4;3;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
