60 m
8.8;3r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
8.83;1r3;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
1000 m
257.0;10r3;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
60 m Hü 76.2 U14 W Outdoor
9.81;2A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
10.1;2r1;None;16.06.2019;Thun;Offene Berner Meisterschaften; 
10.1;1sf2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
10.19;1h3;None;11.05.2019;Langnau i.E.;Hürden-Meeting Langnau; 
10.19;2A;None;11.05.2019;Langnau i.E.;Hürden-Meeting Langnau; 
10.21;2r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
10.29;2A;None;08.09.2019;Basel;Grosses Meeting für die Kleinen; 
10.36;1h2;None;08.09.2019;Basel;Grosses Meeting für die Kleinen; 
10.6;1r1;None;14.09.2019;Zug;31. «Nationales Bettagsmeeting»; 
Hoch
1.3;15;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Kugel 3.00 kg
8.67;3;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
8.55;4;None;14.09.2019;Zug;31. «Nationales Bettagsmeeting»; 
8.29;4;None;08.09.2019;Basel;Grosses Meeting für die Kleinen; 
8.11;3;None;16.06.2019;Thun;Offene Berner Meisterschaften; 
7.68;9;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Speer 400 gr
26.84;6;None;16.06.2019;Thun;Offene Berner Meisterschaften; 
26.18;4;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
25.25;6;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
