800 m
166.93;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 76.2
18.5;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Hoch
1.45;7;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
1.45;9;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
1.45;11;None;04.07.2019;Sion;SVM Junior Liga; 
1.45;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
1.44;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.4;19;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
1.4;14;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
Weit
4.31;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
3.86;18;None;04.05.2019;Riehen;Eröffnungsmeeting; 
Kugel 3.00 kg
11.98;4;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
11.94;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
11.79;9;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
11.73;3;None;04.05.2019;Riehen;Eröffnungsmeeting;Limite erfüllt
11.33;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
11.21;4;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
11.15;3;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.09;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
10.96;9;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Speer 500 gr
39.29;1;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
39.02;2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
38.76;1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
38.72;2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
38.34;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
38.09;1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
37.43;2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau;Limite erfüllt
37.35;3;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
34.77;1;None;04.05.2019;Riehen;Eröffnungsmeeting; 
34.11;4;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
Siebenkampf U18 W
3743.0;17;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
