60 m
8.59;16;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.95;1;None;03.08.2019;Trubschachen;UBS Kids Cup; 
9.04;9;None;25.05.2019;Kirchberg;UBS Kids Cup; 
80 m
11.23;4r3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
Weit Zone
4.74;16;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.58;1;None;03.08.2019;Trubschachen;UBS Kids Cup; 
4.34;9;None;25.05.2019;Kirchberg;UBS Kids Cup; 
Kugel 3.00 kg
12.26;2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
12.08;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
12.07;3;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
11.98;1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
11.89;6;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
11.65;1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
11.48;3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
11.27;2;None;30.06.2019;Bern;SVM Nachwuchs BERN;Limite erfüllt
10.2;1;None;04.05.2019;Riehen;Eröffnungsmeeting; 
Diskus 0.75 kg
33.69;6;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
31.41;4;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
27.69;8;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
25.31;3;None;04.05.2019;Riehen;Eröffnungsmeeting; 
23.61;2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
Speer 400 gr
29.41;7;None;17.08.2019;Langenthal;Nachwuchs SVM; 
27.67;16;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
26.92;3;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Ball 200 g
39.91;16;None;25.08.2019;Interlaken;UBS Kids Cup; 
37.76;1;None;03.08.2019;Trubschachen;UBS Kids Cup; 
36.39;9;None;25.05.2019;Kirchberg;UBS Kids Cup; 
UBS Kids Cup
1943.0;16;None;25.08.2019;Interlaken;UBS Kids Cup; 
1782.0;1;None;03.08.2019;Trubschachen;UBS Kids Cup; 
1686.0;9;None;25.05.2019;Kirchberg;UBS Kids Cup; 
