1000 m
168.15;13r3;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
1500 m
262.45;2r1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
264.41;6r2;None;10.06.2019;Basel;Susanne Meier Memorial;Limite erfüllt
264.84;94;None;10.08.2019;Regensdorf;Abendmeeting;Limite erfüllt
265.36;5h1;None;07.09.2019;Düdingen;SM U16/U18; 
269.05;11r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
269.86;12;None;05.07.2019;Lausanne;ATHLETISSIMA; 
270.23;12A;None;08.09.2019;Düdingen;SM U16/U18; 
3000 m
590.56;22r1;None;03.08.2019;Bern;CITIUS Meeting; 
