60 m
8.24;10;None;02.06.2019;Interlaken;UBS Kids Cup; 
8.39;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.6;6;None;10.04.2019;Tenero;UBS Kids Cup; 
80 m
10.62;1A;None;01.06.2019;Interlaken;Die schnällste Oberländer; 
10.63;2h3;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.67;3qf2;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.74;2h1;None;01.06.2019;Interlaken;Die schnällste Oberländer; 
10.75;5A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
11.12;1h1;None;05.05.2019;Interlaken;schnällst Bödeler; 
11.17;2A;None;05.05.2019;Interlaken;schnällst Bödeler; 
80 m Hürden 76.2
12.57;1r2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
12.95;2h3;None;08.09.2019;Düdingen;SM U16/U18; 
13.23;1h3;None;11.05.2019;Langnau i.E.;Hürden-Meeting Langnau; 
13.24;4A;None;11.05.2019;Langnau i.E.;Hürden-Meeting Langnau; 
Weit Zone
4.93;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.72;10;None;02.06.2019;Interlaken;UBS Kids Cup; 
4.57;6;None;10.04.2019;Tenero;UBS Kids Cup; 
Speer 400 gr
22.68;16;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
Ball 200 g
35.75;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
28.64;10;None;02.06.2019;Interlaken;UBS Kids Cup; 
28.3;6;None;10.04.2019;Tenero;UBS Kids Cup; 
UBS Kids Cup
1973.0;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
1862.0;10;None;02.06.2019;Interlaken;UBS Kids Cup; 
1722.0;6;None;10.04.2019;Tenero;UBS Kids Cup; 
