60 m
7.85;4;None;25.08.2019;Interlaken;UBS Kids Cup; 
7.93;19;None;31.08.2019;Zürich;UBS Kids Cup; 
8.03;1;None;04.05.2019;Düdingen;UBS Kids Cup; 
1000 m
204.43;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
100 m Hürden 84.0
15.35;5r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
15.89;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Hoch
1.86;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
1.84;1r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
1.8;13;None;01.06.2019;Lausanne;SVM NLA/CSI LNA;Limite erfüllt
1.76;1;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
1.75;7;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
1.75;4;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
1.73;1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
1.7;1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
Weit
5.92;3;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
5.92;9;None;08.09.2019;Düdingen;SM U16/U18; 
5.7;17;None;04.07.2019;Sion;SVM Junior Liga; 
5.54;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
4.57;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Weit Zone
5.97;19;None;31.08.2019;Zürich;UBS Kids Cup; 
5.87;1;None;04.05.2019;Düdingen;UBS Kids Cup; 
5.82;4;None;25.08.2019;Interlaken;UBS Kids Cup; 
Kugel 4.00 kg
10.99;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Diskus 1.00 kg
25.45;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Ball 200 g
69.66;4;None;25.08.2019;Interlaken;UBS Kids Cup; 
67.08;19;None;31.08.2019;Zürich;UBS Kids Cup; 
65.46;1;None;04.05.2019;Düdingen;UBS Kids Cup; 
Sechskampf U16 M
3437.0;23;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
UBS Kids Cup
2267.0;4;None;25.08.2019;Interlaken;UBS Kids Cup; 
2241.0;19;None;31.08.2019;Zürich;UBS Kids Cup; 
2179.0;1;None;04.05.2019;Düdingen;UBS Kids Cup; 
