800 m
134.45;9r3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
1000 m
177.92000000000002;8r4;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
1500 m
268.82;85;None;10.08.2019;Regensdorf;Abendmeeting; 
269.19;12r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
280.35;1r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
3000 m
567.38;121;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
579.25;3r2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
