100 m
11.71;2r2;None;04.07.2019;Sion;SVM Junior Liga; 
11.73;3r4;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
11.74;1r7;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
11.76;1r3;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
200 m
23.46;1r4;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
24.01;4r3;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
Stab
4.3;4;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
4.0;4;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
4.0;3;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
3.8;6;None;10.06.2019;Basel;Susanne Meier Memorial; 
3.6;13;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
3.6;12;None;01.08.2019;Frauenkappelen;15. Stabhochsprungmeeting; 
