60 m
8.78;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.82;3;None;18.05.2019;Langenthal;UBS Kids Cup; 
8.85;4;None;25.05.2019;Kirchberg;UBS Kids Cup; 
9.16;5;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
80 m
11.21;2h9;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.44;6h8;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
Weit Zone
4.69;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.55;3;None;18.05.2019;Langenthal;UBS Kids Cup; 
4.41;4;None;25.05.2019;Kirchberg;UBS Kids Cup; 
4.27;5;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
Speer 400 gr
41.95;3;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
40.17;3;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting;Limite erfüllt
37.65;1;None;14.08.2019;Riehen;Sommerabendmeeting;Limite erfüllt
36.01;6;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
32.27;5;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
Ball 200 g
53.57;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
45.39;3;None;18.05.2019;Langenthal;UBS Kids Cup; 
44.9;5;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
43.76;4;None;25.05.2019;Kirchberg;UBS Kids Cup; 
UBS Kids Cup
2091.0;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
1927.0;3;None;18.05.2019;Langenthal;UBS Kids Cup; 
1864.0;4;None;25.05.2019;Kirchberg;UBS Kids Cup; 
1774.0;5;None;04.05.2019;Rüegsauschachen;UBS Kids Cup; 
