100 m
12.56;1h1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
12.57;1r2;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
12.68;2h4;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
12.72;7r1;None;04.07.2019;Sion;SVM Junior Liga; 
12.74;4sf1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
12.74;7h4;None;23.08.2019;Basel;SM Aktive; 
12.77;1h1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
12.79;1r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
12.79;3sf2;None;07.09.2019;Düdingen;SM U16/U18; 
12.81;7A;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
12.83;1A;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
13.12;5r3;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
13.35;1r6;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
200 m
26.24;2r3;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
26.47;1r4;None;02.07.2019;Olten;Abendmeeting;Limite erfüllt
26.58;4A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
26.69;2h3;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
Weit
4.99;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
