60 m
7.28;1;None;18.06.2019;Langenthal;UBS Kids Cup; 
8.26;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.42;3;None;03.07.2019;Aarau;UBS Kids Cup; 
80 m
10.56;4r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
1000 m
224.04;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
100 m Hürden 84.0
16.19;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
16.26;1r3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Hoch
1.5;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Weit
5.02;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
4.16;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Weit Zone
5.5;X;None;18.06.2019;Langenthal;UBS Kids Cup; 
4.89;;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.8;;None;03.07.2019;Aarau;UBS Kids Cup; 
Kugel 4.00 kg
12.55;1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
12.22;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
12.08;15;None;07.09.2019;Düdingen;SM U16/U18; 
11.85;2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
Diskus 1.00 kg
48.98;1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
42.99;2;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
40.68;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
39.45;8;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
Ball 200 g
58.18;3;None;03.07.2019;Aarau;UBS Kids Cup; 
57.92;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
52.1;1;None;18.06.2019;Langenthal;UBS Kids Cup; 
Sechskampf U16 M
3286.0;29;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
UBS Kids Cup
2103.0;1;None;18.06.2019;Langenthal;UBS Kids Cup; 
1864.0;19;None;25.08.2019;Interlaken;UBS Kids Cup; 
1812.0;3;None;03.07.2019;Aarau;UBS Kids Cup; 
