100 m
11.41;4r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.6;6h5;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
11.88;5r3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
11.91;8sf1;None;07.09.2019;Winterthur;SM U20/U23; 
200 m
23.4;1r5;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
23.61;2r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
23.74;6r2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
23.79;6r3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
23.91;6h2;None;08.09.2019;Winterthur;SM U20/U23; 
400 m
52.01;6r2;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
52.1;5r1;None;04.07.2019;Sion;SVM Junior Liga; 
52.65;4r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
52.92;3r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
55.13;6h1;None;07.09.2019;Winterthur;SM U20/U23; 
