100 m
11.51;5r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.58;2r4;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
11.67;4r1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
11.81;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
11.9;3r4;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
11.9;2r3;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
200 m
23.78;3r4;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
400 m
55.05;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1500 m
324.9;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
110 m Hürden 99.1
15.37;2r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
15.54;3r1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
15.86;4r2;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
15.86;3sf3;None;08.09.2019;Winterthur;SM U20/U23; 
15.87;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
15.99;3r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
16.41;3r1;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Hoch
1.71;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Stab
3.0;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Weit
6.56;3;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
6.44;1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
6.41;4;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
6.37;3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
6.35;10;None;07.09.2019;Winterthur;SM U20/U23; 
6.33;10;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
6.3;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
6.13;7;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
6.06;17;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
Kugel 6.00 kg
8.54;3;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
7.76;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Diskus 1.75 kg
26.41;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
25.09;2;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
Speer 800 gr
30.6;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
28.17;22;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Zehnkampf U20 M
5073.0;18;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
