100 m
11.61;2r3;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
11.7;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
11.71;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
11.79;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
11.84;3r2;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
200 m
23.75;4r5;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
23.77;5r1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
300 m
38.09;3r1;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
400 m
53.97;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
54.61;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
54.68;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1500 m
294.92;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
297.45;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
298.6;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
110 m Hürden 99.1
17.49;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
17.62;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
17.67;5r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
17.96;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
Hoch
1.9;5;None;14.09.2019;Bern;Team SM;Limite erfüllt
1.88;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
1.86;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
1.85;4;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
1.85;8;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
1.79;;None;01.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
1.65;5;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Stab
4.0;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
4.0;4;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
3.9;8;None;01.08.2019;Frauenkappelen;15. Stabhochsprungmeeting; 
3.9;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
3.8;5;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
3.8;4;None;16.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
3.7;4;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
3.6;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
Weit
6.28;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
6.22;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
6.19;4;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
6.18;4;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
6.13;12;None;07.09.2019;Winterthur;SM U20/U23; 
5.72;6;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
Drei
13.16;2;None;08.09.2019;Winterthur;SM U20/U23;Limite erfüllt
12.61;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
Kugel 6.00 kg
10.82;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
10.69;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
10.68;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Diskus 1.75 kg
33.73;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
33.47;4;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
32.5;3;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
31.34;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
30.51;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Speer 800 gr
48.9;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
48.31;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
46.93;10;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
45.14;2;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
44.5;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
44.18;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
41.67;20;None;14.09.2019;Bern;Team SM; 
Zehnkampf U20 M
5981.0;13;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
5936.0;12;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
5157.0;;None;02.06.2019;Filderstadt, GER;Int. Mehrkampfmeeting; 
