200 m
25.3;7zf3;None;05.10.2019;Yverdon-les-Bains;Meeting de clôture; 
300 m
39.09;6r2;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
400 m
55.71;2r3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
56.25;6r3;None;03.08.2019;Bern;CITIUS Meeting; 
110 m Hürden 99.1
18.11;5r2;None;04.07.2019;Sion;SVM Junior Liga; 
300 m Hürden 91.4
43.51;5r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
44.47;6r3;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
400 m Hürden 91.4
59.75;4r1;None;21.09.2019;Bellinzona;Grand Prix FTAL;Limite erfüllt
60.23;1r3;None;17.08.2019;Meilen;OZB-Meeting & -Championships; 
61.92;71;None;08.09.2019;Winterthur;SM U20/U23; 
64.7;8r2;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
65.79;3r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
