100 m
13.55;3r5;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
150 m
21.03;6r4;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
200 m
27.48;4h2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
27.79;2r8;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
28.01;6r3;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
28.08;5r3;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
100 m Hürden 84.0
15.34;4h1;None;24.08.2019;Basel;SM Aktive; 
15.68;3r3;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
15.83;3r5;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
16.06;5r1;None;04.07.2019;Sion;SVM Junior Liga; 
16.7;3r2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
100 m Hürden 76.2
14.74;3A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
14.92;2r2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
14.93;2h2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
15.12;3h5;None;08.09.2019;Düdingen;SM U16/U18; 
15.15;2r3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
15.29;5sf1;None;08.09.2019;Düdingen;SM U16/U18; 
15.35;1r2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
15.58;1r1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
15.63;1r2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
16.28;6r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
