100 m
12.53;1r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
12.7;8h1;None;23.08.2019;Basel;SM Aktive; 
12.76;3r3;None;10.06.2019;Basel;Susanne Meier Memorial; 
12.78;6r2;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
12.92;3h4;None;07.09.2019;Winterthur;SM U20/U23; 
200 m
26.19;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
800 m
176.26;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 84.0
14.29;2r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
14.32;1r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
14.33;1r2;None;29.06.2019;Nottwil;Bonus-Track Meeting;Limite erfüllt
14.37;6r1;None;29.06.2019;Nottwil;Bonus-Track Meeting;Limite erfüllt
14.49;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
14.74;4h3;None;24.08.2019;Basel;SM Aktive;Limite erfüllt
14.84;4r2;None;14.09.2019;Bern;Team SM;Limite erfüllt
14.98;8r1;None;10.06.2019;Basel;Susanne Meier Memorial;Limite erfüllt
15.1;7A;None;08.09.2019;Winterthur;SM U20/U23; 
15.14;2h2;None;08.09.2019;Winterthur;SM U20/U23; 
15.18;8sf2;None;24.08.2019;Basel;SM Aktive; 
15.7;8r1;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
Hoch
1.57;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.5;5;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
Weit
5.16;2;None;01.05.2019;Basel;1. Mai - Meeting; 
4.83;13;None;17.08.2019;Yverdon-les-Bains;Championnats romands open; 
Kugel 4.00 kg
9.9;4;None;04.07.2019;Sion;SVM Junior Liga; 
9.5;10;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
8.83;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Speer 600 gr
28.29;4;None;17.08.2019;Yverdon-les-Bains;Championnats romands open; 
26.44;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Siebenkampf
4300.0;5;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
