100 m
11.23;1h2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
11.42;1r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
11.44;5r1;None;04.07.2019;Sion;SVM Junior Liga; 
11.49;3sf2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
11.53;6A;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
11.54;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
11.59;1h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
11.6;4h1;None;07.09.2019;Düdingen;SM U16/U18; 
11.6;6sf2;None;07.09.2019;Düdingen;SM U16/U18; 
1000 m
188.76;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Hoch
1.75;14;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
1.7;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Weit
6.58;1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
6.46;4;None;08.09.2019;Düdingen;SM U16/U18; 
6.41;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
6.21;15;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
6.2;2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
Kugel 5.00 kg
12.54;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
12.05;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
Diskus 1.75 kg
30.65;10;None;04.07.2019;Sion;SVM Junior Liga; 
