60 m
8.89;5r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Kugel 3.00 kg
12.64;2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
12.37;2;None;04.05.2019;Riehen;Eröffnungsmeeting;Limite erfüllt
12.0;1;None;02.07.2019;Olten;Abendmeeting;Limite erfüllt
11.89;3;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau;Limite erfüllt
11.68;3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
11.65;2;None;30.05.2019;Sarnen;Raiffeisen Frühjahrsmeeting;Limite erfüllt
11.42;2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
11.42;11;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.96;3;None;17.08.2019;Langenthal;Nachwuchs SVM; 
Diskus 1.00 kg
30.94;3;None;30.05.2019;Sarnen;Raiffeisen Frühjahrsmeeting;Limite erfüllt
30.14;2;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
30.09;10;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
29.92;2;None;04.05.2019;Riehen;Eröffnungsmeeting;Limite erfüllt
29.88;2;None;02.07.2019;Olten;Abendmeeting;Limite erfüllt
29.86;5;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
29.79;20;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB;Limite erfüllt
28.87;28;None;14.09.2019;Bern;Team SM;Limite erfüllt
28.67;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
28.57;1;None;09.03.2019;Bern;Winterwurf Bern;Limite erfüllt
28.28;6;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau;Limite erfüllt
