60 m
8.0;20;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.02;2;None;18.05.2019;Langenthal;UBS Kids Cup; 
80 m
10.09;1r1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
10.1;1h3;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.12;1h1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.13;1r1;None;30.06.2019;Bern;SVM Nachwuchs BERN;Limite erfüllt
10.18;2sf1;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.2;2r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
10.21;1r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
10.22;2sf2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
10.24;2A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
10.25;1A;None;05.05.2019;Langenthal;"Die schnällschte Oberaargauer 2019";Limite erfüllt
10.25;1A;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.29;6A;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
10.29;2qf1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
10.3;1r1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
10.31;5A;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.42;2sf2;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
10.44;1h8;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
10.46;4A;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
10.48;1h3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
100 m
12.59;4r2;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
12.59;4r1;None;04.07.2019;Sion;SVM Junior Liga; 
12.67;6h4;None;23.08.2019;Basel;SM Aktive; 
200 m
25.88;1r2;None;02.07.2019;Olten;Abendmeeting; 
26.45;4r4;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
Weit Zone
4.57;2;None;18.05.2019;Langenthal;UBS Kids Cup; 
4.46;20;None;25.08.2019;Interlaken;UBS Kids Cup; 
Ball 200 g
30.2;2;None;18.05.2019;Langenthal;UBS Kids Cup; 
27.93;20;None;25.08.2019;Interlaken;UBS Kids Cup; 
UBS Kids Cup
1923.0;2;None;18.05.2019;Langenthal;UBS Kids Cup; 
1870.0;20;None;25.08.2019;Interlaken;UBS Kids Cup; 
