60 m
8.5;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
8.51;5;None;10.04.2019;Tenero;UBS Kids Cup; 
8.57;11;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.78;2;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
80 m
10.69;3h1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.71;5A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.74;4qf1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
10.78;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
10.86;4A;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.98;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
11.11;5r1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
11.14;6r2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
11.17;1h1;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
11.38;4r3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
200 m
27.72;3r3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
28.61;4r4;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
600 m
114.36;4r2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
114.49000000000001;4r3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
1000 m
216.77;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
225.85;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
230.11;8r1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
80 m Hürden 76.2
13.23;4r3;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
13.59;7r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
13.8;5h8;None;08.09.2019;Düdingen;SM U16/U18; 
14.33;4r3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Hoch
1.6;2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
1.57;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
1.55;4;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
1.55;10;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
1.54;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
1.53;1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
1.51;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.5;2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
1.45;12;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
Weit
4.95;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
4.76;4;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
4.52;19;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Weit Zone
4.98;11;None;25.08.2019;Interlaken;UBS Kids Cup; 
4.8;2;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
4.7;5;None;10.04.2019;Tenero;UBS Kids Cup; 
4.54;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
Kugel 3.00 kg
9.92;5;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
9.87;3;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
9.77;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
8.9;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Ball 200 g
40.68;11;None;25.08.2019;Interlaken;UBS Kids Cup; 
34.43;2;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
30.64;5;None;10.04.2019;Tenero;UBS Kids Cup; 
28.67;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
Fünfkampf U16 W
3195.0;13;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
2901.0;17;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
UBS Kids Cup
2013.0;11;None;25.08.2019;Interlaken;UBS Kids Cup; 
1820.0;2;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
1812.0;5;None;10.04.2019;Tenero;UBS Kids Cup; 
1750.0;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
