100 m
11.9;2h2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
11.95;4D;None;07.07.2019;Bulle;Meeting de la Gruyère;Limite erfüllt
12.01;1r1;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB;Limite erfüllt
12.05;4r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
12.12;4A;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
12.13;2r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
12.15;3r1;None;17.08.2019;Meilen;OZB-Meeting B-Lauf 100m M+F;Limite erfüllt
12.15;1r2;None;17.08.2019;Meilen;OZB-Meeting & -Championships;Limite erfüllt
12.15;3r1;None;17.08.2019;Meilen;OZB-Meeting & -Championships;Limite erfüllt
12.21;5h1;None;07.07.2019;Bulle;Meeting de la Gruyère;Limite erfüllt
12.28;4sf2;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
12.62;1h3;None;07.09.2019;Winterthur;SM U20/U23; 
12.79;41;None;10.08.2019;Regensdorf;Abendmeeting; 
150 m
18.04;2r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
200 m
24.01;5zf2;None;30.06.2019;Mannheim,GER;26. Bauhaus Juniorengala;Limite erfüllt
24.03;1r1;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB;Limite erfüllt
24.07;7sf1;None;20.07.2019;Boras, SWE;European Athletics U20 Championship;Limite erfüllt
24.09;4r1;None;19.07.2019;Boras, SWE;European Athletics U20 Championship;Limite erfüllt
24.19;1A;None;08.09.2019;Winterthur;SM U20/U23;Limite erfüllt
24.43;1r1;None;09.07.2019;Luzern;Spitzen Leichtathletik Luzern;Limite erfüllt
24.5;2h2;None;24.08.2019;Basel;SM Aktive;Limite erfüllt
24.51;1r1;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
24.57;1r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
24.72;8A;None;24.08.2019;Basel;SM Aktive;Limite erfüllt
25.36;1h3;None;08.09.2019;Winterthur;SM U20/U23;Limite erfüllt
