100 m
11.67;6r1;None;25.05.2019;Tampere, FIN;ECCC T&F Senior Gruppe B; 
11.7;8r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
200 m
23.36;4r8;None;30.06.2019;La Chaux-de-Fonds;40. Resisprint; 
23.56;7r1;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
24.08;8h3;None;24.08.2019;Basel;SM Aktive; 
300 m
36.44;7r1;None;11.05.2019;Lausanne;26ème Meeting Mémorial Paul Luginbühl; 
36.73;2r4;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
400 m
51.79;7r1;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
52.14;44;None;30.06.2019;La Chaux-de-Fonds;40. Resisprint; 
53.22;8h2;None;23.08.2019;Basel;SM Aktive; 
53.48;6r2;None;17.08.2019;Meilen;OZB-Meeting & -Championships; 
53.53;6h2;None;07.09.2019;Winterthur;SM U20/U23; 
53.54;7r3;None;10.06.2019;Basel;Susanne Meier Memorial; 
