60 m
8.47;9;None;03.07.2019;Aarau;UBS Kids Cup; 
8.58;3;None;25.05.2019;Kirchberg;UBS Kids Cup; 
8.64;17;None;25.08.2019;Interlaken;UBS Kids Cup; 
80 m
10.86;5h1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
11.42;2h1;None;05.05.2019;Langenthal;"Die schnällschte Oberaargauer 2019"; 
1000 m
234.6;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 84.0
18.37;4r1;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
18.42;5r1;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
18.6;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
18.8;5r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
19.47;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
20.13;4r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Hoch
1.5;6;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
1.5;15;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
1.47;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.45;5;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
1.4;11r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
1.35;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Stab
3.2;3;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
3.1;9;None;01.08.2019;Frauenkappelen;15. Stabhochsprungmeeting;Limite erfüllt
3.1;12;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
3.0;4;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
3.0;3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
3.0;7;None;16.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting;Limite erfüllt
2.8;11;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»;Limite erfüllt
2.8;8;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
2.7;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
2.6;3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
Weit
4.62;4;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
4.57;22;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
4.35;13;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
4.35;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
4.08;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
4.03;12;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
Weit Zone
4.85;9;None;03.07.2019;Aarau;UBS Kids Cup; 
4.67;3;None;25.05.2019;Kirchberg;UBS Kids Cup; 
4.61;17;None;25.08.2019;Interlaken;UBS Kids Cup; 
Kugel 4.00 kg
8.24;8;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
8.23;9;None;04.05.2019;Zug;«Nationales Frühjahrsmeeting»; 
8.15;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
8.09;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
7.97;8;None;17.08.2019;Sarnen;8. RAIFFEISEN-Sommermeeting; 
Diskus 1.00 kg
29.49;4;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
26.73;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
26.54;6;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
24.57;16;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
23.19;11;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
21.8;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
17.25;10;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Speer 600 gr
27.95;1;None;05.05.2019;Langenthal;"Die schnällschte Oberaargauer 2019"; 
25.83;10;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
Ball 200 g
52.65;9;None;03.07.2019;Aarau;UBS Kids Cup; 
47.83;17;None;25.08.2019;Interlaken;UBS Kids Cup; 
40.76;3;None;25.05.2019;Kirchberg;UBS Kids Cup; 
Sechskampf U16 M
2269.0;26;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
2171.0;49;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
UBS Kids Cup
1743.0;9;None;03.07.2019;Aarau;UBS Kids Cup; 
1603.0;17;None;25.08.2019;Interlaken;UBS Kids Cup; 
1544.0;3;None;25.05.2019;Kirchberg;UBS Kids Cup; 
