60 m
7.9;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
8.02;2;None;19.05.2019;Liebefeld;UBS Kids Cup; 
80 m
10.21;3r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
10.51;6A;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.86;4h1;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
1000 m
208.65;61;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
232.01;16r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Hoch
1.45;10;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Weit
5.17;4;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Weit Zone
5.42;2;None;19.05.2019;Liebefeld;UBS Kids Cup; 
5.25;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
Kugel 4.00 kg
8.48;5;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Speer 600 gr
46.91;1;None;14.09.2019;Wohlen;Nachwuchs SVM;Limite erfüllt
Ball 200 g
58.37;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
49.56;2;None;19.05.2019;Liebefeld;UBS Kids Cup; 
UBS Kids Cup
2025.0;9;None;25.08.2019;Interlaken;UBS Kids Cup; 
1918.0;2;None;19.05.2019;Liebefeld;UBS Kids Cup; 
