200 m
29.16;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
800 m
182.85;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
192.47;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 76.2
17.27;2r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
17.59;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
17.9;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
18.21;5r3;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Hoch
1.4;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
1.35;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Weit
4.7;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
4.6;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
4.35;14;None;04.05.2019;Riehen;Eröffnungsmeeting; 
Kugel 3.00 kg
13.41;1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
13.19;1;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
13.18;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
13.14;3;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
13.13;1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
12.94;1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
12.84;1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
12.79;1;None;04.05.2019;Riehen;Eröffnungsmeeting;Limite erfüllt
12.6;2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau;Limite erfüllt
12.52;3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
12.29;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
12.25;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
Diskus 1.00 kg
33.22;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
32.98;3;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
31.84;24;None;14.09.2019;Bern;Team SM;Limite erfüllt
31.66;3;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
31.42;7;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
28.64;2;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
28.41;2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
27.29;4;None;04.05.2019;Riehen;Eröffnungsmeeting; 
Speer 500 gr
39.71;1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
38.62;1;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau;Limite erfüllt
38.35;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
37.69;3;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
37.62;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
37.13;3;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
37.04;2;None;17.08.2019;Langenthal;Nachwuchs SVM; 
34.86;8;None;08.09.2019;Düdingen;SM U16/U18; 
Siebenkampf U18 W
3720.0;26;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
3539.0;21;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
