100 m
13.38;1r6;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
200 m
27.96;4r3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
100 m Hürden 84.0
16.41;1r2;None;04.07.2019;Sion;SVM Junior Liga; 
Weit
5.23;5;None;04.07.2019;Sion;SVM Junior Liga; 
5.2;5;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
5.06;23;None;07.09.2019;Düdingen;SM U16/U18; 
4.93;6;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Drei
10.95;3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
10.92;7;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
10.9;6r1;None;10.06.2019;Basel;Susanne Meier Memorial;Limite erfüllt
10.79;2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
10.78;2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.57;17;None;14.09.2019;Bern;Team SM;Limite erfüllt
10.55;1;None;04.05.2019;Düdingen;Frühjahrsmeeting;Limite erfüllt
