100 m
12.75;2h1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
12.89;2A;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
13.04;3B;None;17.08.2019;Yverdon-les-Bains;Championnats romands open; 
13.2;5r2;None;17.08.2019;Yverdon-les-Bains;Championnats romands open; 
13.28;5r3;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
150 m
19.34;1r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
200 m
26.29;2r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
26.7;2r3;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
26.72;3r2;None;14.08.2019;Riehen;Sommerabendmeeting; 
300 m
41.49;1r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
41.5;4r2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
400 m
58.26;4r1;None;07.07.2019;Bulle;Meeting de la Gruyère;Limite erfüllt
58.32;3A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
58.62;21;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
59.05;6h5;None;23.08.2019;Basel;SM Aktive;Limite erfüllt
59.1;2r1;None;14.08.2019;Riehen;Sommerabendmeeting;Limite erfüllt
59.17;6r1;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
59.22;3r3;None;10.06.2019;Basel;Susanne Meier Memorial;Limite erfüllt
59.48;2zf1;None;17.08.2019;Yverdon-les-Bains;Championnats romands open;Limite erfüllt
60.4;1h1;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
