300 m
37.34;1r1;None;04.05.2019;Olten;Eröffnungsmeeting; 
400 m
53.12;4r2;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
600 m
82.17;8r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
800 m
114.09;4A;None;08.09.2019;Winterthur;SM U20/U23;Limite erfüllt
114.13;1r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
114.42;3r2;None;08.06.2019;Zofingen;44. Pfingstmeeting;Limite erfüllt
116.11;2r1;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB;Limite erfüllt
117.97;9r1;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
118.56;2h1;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
1000 m
155.99;1r1;None;04.05.2019;Olten;Eröffnungsmeeting; 
1500 m
236.04;2zf;None;18.05.2019;Karlsruhe, GER;4. Laufnacht;Limite erfüllt
240.0;6h1;None;23.08.2019;Basel;SM Aktive;Limite erfüllt
242.57;131;None;10.08.2019;Regensdorf;Abendmeeting;Limite erfüllt
242.99;6r2;None;15.06.2019;Genève;AtletiCAGenève;Limite erfüllt
244.55;13;None;09.07.2019;Luzern;Spitzen Leichtathletik Luzern;Limite erfüllt
