600 m
85.58;3A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
85.58;4A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
87.11;1r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
88.9;1r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
89.72;1h1;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
91.57;1h1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
800 m
119.53999999999999;1r2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
120.93;1r2;None;04.07.2019;Sion;SVM Junior Liga; 
1000 m
154.78;21;None;22.09.2019;Locarno, stadio Lido;Finale CH Mille Gruyère;Limite erfüllt
157.13;11;None;16.08.2019;Langnau i.E;Kantonalfinal MilLE GRUYÈRE Bern;Limite erfüllt
158.91;2r3;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
159.18;3;None;09.07.2019;Luzern;Spitzen Leichtathletik Luzern;Limite erfüllt
