400 m
59.28;31;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
600 m
95.8;7r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
800 m
135.96;7r1;None;08.06.2019;Zofingen;44. Pfingstmeeting;Limite erfüllt
137.57;3h1;None;23.08.2019;Basel;SM Aktive;Limite erfüllt
137.87;3h3;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
137.93;2r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting;Limite erfüllt
138.73;7r1;None;29.06.2019;Nottwil;Bonus-Track Meeting;Limite erfüllt
139.67000000000002;8r1;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
143.32999999999998;5r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
1000 m
186.45;2r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
