60 m
7.55;3;None;31.08.2019;Zürich;UBS Kids Cup; 
7.72;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
7.82;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
7.85;3;None;10.04.2019;Tenero;UBS Kids Cup; 
7.88;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
7.98;1;None;13.06.2019;Oberdiessbach;UBS Kids Cup; 
80 m
9.74;1A;None;01.06.2019;Interlaken;Die schnällste Oberländer;Limite erfüllt
9.8;2A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
9.81;3sf3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint;Limite erfüllt
9.87;1qf1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
9.9;3A;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
9.9;4h1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
9.91;2;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
9.91;4r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
9.91;2h1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
9.92;4h5;None;07.09.2019;Düdingen;SM U16/U18; 
9.92;1h3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
9.97;4sf1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
10.0;1h2;None;01.06.2019;Interlaken;Die schnällste Oberländer; 
10.0;8A;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
10.01;3A;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.02;1r1;None;14.09.2019;Wohlen;Nachwuchs SVM; 
10.03;2r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
10.04;2h2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
10.09;7r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
10.18;1r1;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
10.2;5r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
10.27;2h2;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.3;2;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
600 m
104.85;6r5;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
1000 m
184.75;31;None;16.08.2019;Langnau i.E;Kantonalfinal MilLE GRUYÈRE Bern; 
202.62;21;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
222.51;10r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
100 m Hürden 84.0
14.68;1r1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
15.01;4h1;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
15.22;4h6;None;08.09.2019;Düdingen;SM U16/U18; 
15.36;3r1;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
15.47;6A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
15.58;6r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
15.7;5r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
16.07;3r2;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
16.98;2A;None;11.05.2019;Langnau i.E.;Hürden-Meeting Langnau; 
17.53;2h1;None;11.05.2019;Langnau i.E.;Hürden-Meeting Langnau; 
Hoch
1.5;4;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Weit
5.71;2;None;14.09.2019;Wohlen;Nachwuchs SVM;Limite erfüllt
4.91;6;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Weit Zone
6.09;3;None;31.08.2019;Zürich;UBS Kids Cup; 
5.51;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
5.49;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
5.33;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
5.33;1;None;13.06.2019;Oberdiessbach;UBS Kids Cup; 
5.0;3;None;10.04.2019;Tenero;UBS Kids Cup; 
Kugel 4.00 kg
8.39;6;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Ball 200 g
70.85;3;None;31.08.2019;Zürich;UBS Kids Cup; 
70.07;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
59.83;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
59.49;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
56.56;1;None;13.06.2019;Oberdiessbach;UBS Kids Cup; 
51.08;3;None;10.04.2019;Tenero;UBS Kids Cup; 
UBS Kids Cup
2414.0;3;None;31.08.2019;Zürich;UBS Kids Cup;Limite erfüllt
2227.0;2;None;25.08.2019;Interlaken;UBS Kids Cup;Limite erfüllt
2134.0;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
2057.0;1;None;25.05.2019;Schwarzenburg;UBS Kids Cup; 
1933.0;1;None;13.06.2019;Oberdiessbach;UBS Kids Cup; 
1910.0;3;None;10.04.2019;Tenero;UBS Kids Cup; 
