100 m
13.47;2h6;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
200 m
26.26;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 84.0
15.73;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Hoch
1.45;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Weit
4.8;10;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Kugel 4.00 kg
9.94;15;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
9.73;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
9.1;11;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
Diskus 1.00 kg
35.2;17;None;14.09.2019;Bern;Team SM;Limite erfüllt
33.74;2;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
30.99;6;None;08.09.2019;Winterthur;SM U20/U23; 
29.6;16;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
Speer 600 gr
32.2;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
28.87;6;None;04.07.2019;Sion;SVM Junior Liga; 
Siebenkampf
3697.0;9;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
