400 m
54.83;24;None;10.08.2019;Regensdorf;Abendmeeting; 
55.09;4r6;None;10.06.2019;Basel;Susanne Meier Memorial; 
55.18;2r3;None;14.08.2019;Riehen;Sommerabendmeeting; 
55.45;55;None;30.06.2019;La Chaux-de-Fonds;40. Resisprint; 
55.79;4r3;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
800 m
127.56;6h4;None;07.09.2019;Düdingen;SM U16/U18; 
128.88;5r2;None;17.08.2019;Meilen;OZB-Meeting & -Championships; 
130.19;81;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
132.87;6r1;None;04.07.2019;Sion;SVM Junior Liga; 
133.23;8r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
134.02;3r7;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
Hoch
1.8;5;None;04.07.2019;Sion;SVM Junior Liga;Limite erfüllt
1.74;3;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
