200 m
28.12;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
28.12;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
800 m
156.71;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
160.96;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 84.0
17.15;4r2;None;04.07.2019;Sion;SVM Junior Liga; 
100 m Hürden 76.2
16.64;5r1;None;04.05.2019;Riehen;Eröffnungsmeeting; 
16.68;4r2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
16.89;3r2;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
17.08;3r2;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting; 
17.12;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
17.27;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Hoch
1.44;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
1.4;11;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
1.4;9;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
1.35;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
Weit
5.03;10;None;04.07.2019;Sion;SVM Junior Liga; 
4.94;4;None;17.08.2019;Langenthal;Nachwuchs SVM; 
4.87;16;None;02.06.2019;Zürich (Sihlhölzli);SVM NLB; 
4.84;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
4.83;2;None;02.07.2019;Olten;Abendmeeting; 
4.8;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
4.8;7;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
4.8;9;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
4.75;16;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
4.46;12;None;04.05.2019;Riehen;Eröffnungsmeeting; 
Kugel 3.00 kg
11.39;2;None;07.08.2019;Langenthal;Internationales Sommermeeting; 
11.19;4;None;02.07.2019;Olten;Abendmeeting; 
10.91;6;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
10.6;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
10.21;D;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
10.19;7;None;04.05.2019;Riehen;Eröffnungsmeeting; 
10.19;5;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
Speer 500 gr
39.76;1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
39.42;2;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
38.87;1;None;30.05.2019;Langenthal;Nationales Auffahrtsmeeting;Limite erfüllt
38.18;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften;Limite erfüllt
38.12;2;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
37.72;3;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
37.66;2;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
37.41;3;None;11.05.2019;Willisau;47. Leichtathletikmeeting Willisau; 
36.46;1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
35.7;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
34.35;2;None;04.05.2019;Riehen;Eröffnungsmeeting; 
Siebenkampf U18 W
3981.0;15;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
3949.0;21;None;22.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
