800 m
144.64;5h2;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
145.65;1r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
151.25;2r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
152.77;11;None;22.05.2019;Olten;Solothurner Kantonale Einkampfmeisterschaften & 1. Teil SM Masters; 
1500 m
291.47;7;None;05.07.2019;Lausanne;ATHLETISSIMA;Limite erfüllt
302.08;4r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
303.53;6r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
3000 m
632.66;41;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
651.35;2r1;None;07.08.2019;Langenthal;Internationales Sommermeeting;Limite erfüllt
669.64;1;None;10.05.2019;Murten;Bahnvolkslauf;Limite erfüllt
