200 m
26.48;3r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
26.56;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart;Limite erfüllt
26.61;4r4;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
26.87;6h1;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
27.87;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
800 m
160.54;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
100 m Hürden 76.2
15.92;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
16.45;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
16.53;4r2;None;17.08.2019;Meilen;OZB-Meeting & -Championships; 
Hoch
1.55;9;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
1.5;3;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
1.5;13;None;01.06.2019;Hochdorf;SVM NLC und PL; 
1.5;6;None;07.07.2019;Bulle;Meeting de la Gruyère; 
1.47;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Weit
5.24;17;None;08.06.2019;Zofingen;44. Pfingstmeeting; 
5.17;21;None;07.07.2019;Bulle;Meeting de la Gruyère; 
5.14;4;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
5.13;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
5.13;4;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
5.06;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
4.69;28;None;07.09.2019;Düdingen;SM U16/U18; 
Drei
10.39;4;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
9.94;11;None;01.06.2019;Hochdorf;SVM NLC und PL; 
Kugel 3.00 kg
10.94;2;None;04.05.2019;Düdingen;Frühjahrsmeeting; 
10.77;4;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
10.43;D;None;18.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
Speer 500 gr
38.87;2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
35.47;4;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
35.15;2r1;None;17.08.2019;Meilen;OZB-Meeting & -Championships; 
35.01;7;None;08.09.2019;Düdingen;SM U16/U18; 
33.6;D;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
31.64;D;None;21.09.2019;Hochdorf;Schweizer & 59. Hochdorfer Mehrkampfmeisterschaften; 
28.9;5;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
Siebenkampf U18 W
4326.0;8;None;19.05.2019;Landquart;36. Mehrkampf Meeting in Landquart; 
