100 m
11.45;4h6;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
11.56;1r3;None;14.08.2019;Riehen;Sommerabendmeeting;Limite erfüllt
11.56;3r3;None;17.08.2019;Yverdon-les-Bains;Championnats romands open;Limite erfüllt
11.66;6B;None;17.08.2019;Yverdon-les-Bains;Championnats romands open; 
11.74;3r4;None;29.06.2019;Nottwil;Bonus-Track Meeting; 
11.74;2r4;None;29.06.2019;Nottwil;Bonus-Track Meeting; 
11.82;3h1;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
11.86;6sf2;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
11.89;3A;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
11.92;4h1;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
200 m
23.63;1r3;None;14.08.2019;Riehen;Sommerabendmeeting; 
24.51;2r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting; 
400 m
51.75;2h3;None;07.09.2019;Düdingen;SM U16/U18;Limite erfüllt
51.93;5A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
52.39;1r3;None;07.07.2019;Bulle;Meeting de la Gruyère;Limite erfüllt
53.22;2zf1;None;17.08.2019;Yverdon-les-Bains;Championnats romands open; 
53.57;32;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
