100 m
11.72;4h1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.88;4A;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.91;2r4;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
400 m
52.01;4r1;None;04.07.2019;Sion;SVM Junior Liga; 
52.03;1r3;None;01.06.2019;Lausanne;SVM NLA/CSI LNA; 
52.94;1r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
110 m Hürden 99.1
15.8;2r2;None;04.07.2019;Sion;SVM Junior Liga; 
110 m Hürden 91.4
15.73;2r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
16.11;4r1;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
300 m Hürden 84.0
39.68;1r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
400 m Hürden 84.0
55.77;2r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
55.78;3A;None;08.09.2019;Düdingen;SM U16/U18; 
56.07;31;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
56.9;2h1;None;07.09.2019;Düdingen;SM U16/U18; 
