60 m
7.62;18;None;31.08.2019;Zürich;UBS Kids Cup; 
7.69;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
7.78;1;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
80 m
9.78;2A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
9.79;1qf1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
9.82;2r1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
9.82;4h6;None;07.09.2019;Düdingen;SM U16/U18; 
9.85;3sf3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
9.86;3A;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
9.94;3h3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
9.98;4r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
10.06;4r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
10.21;1h1;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
10.48;3h1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
100 m Hürden 84.0
14.0;1r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
14.35;1A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
14.59;1h3;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
14.61;1h2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
14.72;3sf1;None;08.09.2019;Düdingen;SM U16/U18; 
14.8;4r1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
14.85;1r2;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
14.85;3r1;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
Weit
5.63;7;None;10.08.2019;Zofingen;37. Nachwuchsmeeting; 
5.54;2;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
5.54;1;None;17.08.2019;Langenthal;Nachwuchs SVM; 
Weit Zone
5.83;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
5.65;18;None;31.08.2019;Zürich;UBS Kids Cup; 
5.62;1;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
Ball 200 g
65.03;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
64.66;1;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
64.41;18;None;31.08.2019;Zürich;UBS Kids Cup; 
UBS Kids Cup
2260.0;5;None;25.08.2019;Interlaken;UBS Kids Cup; 
2243.0;18;None;31.08.2019;Zürich;UBS Kids Cup; 
2195.0;1;None;01.06.2019;Lützelflüh;UBS Kids Cup; 
