100 m
11.04;2r2;None;17.08.2019;Meilen;OZB-Meeting & -Championships;Limite erfüllt
11.12;8A;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
11.13;4r2;None;01.06.2019;Lausanne;SVM NLA/CSI LNA;Limite erfüllt
11.19;3r1;None;18.05.2019;Basel;Hürden- und Sprintmeeting;Limite erfüllt
11.19;1sf2;None;07.09.2019;Winterthur;SM U20/U23;Limite erfüllt
11.2;2r2;None;17.08.2019;Meilen;OZB-Meeting B-Lauf 100m M+F;Limite erfüllt
11.2;2r2;None;17.08.2019;Meilen;OZB-Meeting & -Championships;Limite erfüllt
11.35;4r5;None;03.08.2019;Bern;CITIUS Meeting; 
11.44;51;None;10.08.2019;Regensdorf;Abendmeeting; 
11.47;61;None;10.08.2019;Regensdorf;Abendmeeting; 
11.61;6r1;None;25.05.2019;Tampere, FIN;ECCC T&F Senior Gruppe B; 
200 m
22.43;5r1;None;01.06.2019;Lausanne;SVM NLA/CSI LNA;Limite erfüllt
22.45;2zf1;None;16.06.2019;Luzern;ILV Event;Limite erfüllt
22.56;6h4;None;24.08.2019;Basel;SM Aktive;Limite erfüllt
22.59;4r3;None;14.09.2019;Bern;Team SM;Limite erfüllt
22.68;6zf2;None;30.06.2019;Mannheim,GER;26. Bauhaus Juniorengala;Limite erfüllt
22.69;4r4;None;08.06.2019;Zofingen;44. Pfingstmeeting;Limite erfüllt
22.79;4h1;None;08.09.2019;Winterthur;SM U20/U23;Limite erfüllt
22.85;5r2;None;03.08.2019;Bern;CITIUS Meeting;Limite erfüllt
22.95;4r4;None;07.07.2019;Bulle;Meeting de la Gruyère; 
300 m
35.71;5r1;None;11.05.2019;Lausanne;26ème Meeting Mémorial Paul Luginbühl; 
