100 m
11.48;3h1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
11.66;3A;None;15.06.2019;Thun;Offene Berner Meisterschaften; 
11.81;2r5;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
150 m
17.78;3r2;None;18.05.2019;Basel;Hürden- und Sprintmeeting; 
110 m Hürden 91.4
14.71;3sf1;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
14.86;4A;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
14.89;31;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
14.97;1r1;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
15.03;2h3;None;08.09.2019;Düdingen;SM U16/U18;Limite erfüllt
15.07;2r1;None;15.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
15.14;2r1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
15.19;2r2;None;19.06.2019;Thun;7. Thuner Athletics Night / Int. Abendmeeting;Limite erfüllt
15.52;1r2;None;18.05.2019;Basel;Hürden- und Sprintmeeting;Limite erfüllt
400 m Hürden 84.0
57.19;41;None;22.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
58.95;5A;None;08.09.2019;Düdingen;SM U16/U18; 
59.14;2h2;None;07.09.2019;Düdingen;SM U16/U18; 
Weit
6.44;1;None;10.08.2019;Zofingen;37. Nachwuchsmeeting;Limite erfüllt
6.42;2;None;17.08.2019;Langenthal;Nachwuchs SVM;Limite erfüllt
6.07;8;None;26.05.2019;Bern;Nationales Nachwuchsmeeting; 
