60 m
8.22;2;None;25.08.2019;Interlaken;UBS Kids Cup;Limite erfüllt
8.25;1A;None;05.05.2019;Bern;Die schnällschte Mittuländer;Limite erfüllt
8.25;6;None;31.08.2019;Zürich;UBS Kids Cup;Limite erfüllt
8.27;1h1;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
8.28;1qf2;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint;Limite erfüllt
8.29;4A;None;16.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
8.32;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
8.32;2A;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
8.34;1A;None;29.06.2019;Bern;Kantonalfinal Swiss-Athletics Sprint; 
8.35;3h1;None;16.06.2019;Thun;Offene Berner Meisterschaften; 
8.37;1h1;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
8.4;1sf3;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
8.41;3r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
8.41;3sf3;None;21.09.2019;Frauenfeld;Swiss Athletics Sprint; 
8.44;1h6;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST; 
8.47;1h1;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
8.55;3;None;19.05.2019;Liebefeld;UBS Kids Cup; 
8.58;3;None;10.04.2019;Tenero;UBS Kids Cup; 
1000 m
216.0;62;None;05.05.2019;Bern;Die schnällschte Mittuländer; 
231.36;11r1;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Hoch
1.41;2;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Weit Zone
5.01;2;None;25.08.2019;Interlaken;UBS Kids Cup;Limite erfüllt
4.97;3;None;19.05.2019;Liebefeld;UBS Kids Cup; 
4.78;3;None;16.06.2019;Thun;Offene Berner Meisterschaften; 
4.76;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
4.71;6;None;31.08.2019;Zürich;UBS Kids Cup; 
4.28;3;None;10.04.2019;Tenero;UBS Kids Cup; 
Kugel 3.00 kg
10.18;1;None;16.06.2019;Thun;Offene Berner Meisterschaften;Limite erfüllt
10.02;2;None;23.06.2019;Lausanne;REGIONAUX JEUNESSES  OUEST;Limite erfüllt
8.57;2;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
8.55;3;None;18.08.2019;Bern;Grosses Meeting für die Kleinen; 
Speer 400 gr
12.97;43;None;30.06.2019;Bern;SVM Nachwuchs BERN; 
Ball 200 g
51.64;6;None;31.08.2019;Zürich;UBS Kids Cup; 
45.97;3;None;19.05.2019;Liebefeld;UBS Kids Cup; 
43.27;2;None;25.08.2019;Interlaken;UBS Kids Cup; 
42.42;2;None;02.06.2019;Interlaken;UBS Kids Cup; 
37.95;3;None;10.04.2019;Tenero;UBS Kids Cup; 
UBS Kids Cup
2215.0;6;None;31.08.2019;Zürich;UBS Kids Cup;Limite erfüllt
2157.0;2;None;25.08.2019;Interlaken;UBS Kids Cup;Limite erfüllt
2099.0;3;None;19.05.2019;Liebefeld;UBS Kids Cup;Limite erfüllt
2064.0;2;None;02.06.2019;Interlaken;UBS Kids Cup;Limite erfüllt
1818.0;3;None;10.04.2019;Tenero;UBS Kids Cup; 
