100 m
Nr;Resultat;Wind;Rang;Name;Nat.;Geb. Dat.;Wettkampf;Ort;Datum
1;11.71;0.5;5sf1;Cynthia Reinle;SUI;06.05.2000;European Athletics U20 Championship;Boras, SWE;18.07.2019
150 m
Nr;Resultat;Wind;Rang;Name;Nat.;Geb. Dat.;Wettkampf;Ort;Datum
1;18.03;1.0;1r3;Cynthia Reinle;SUI;06.05.2000;Hürden- und Sprintmeeting;Basel;18.05.2019
200 m
Nr;Resultat;Wind;Rang;Name;Nat.;Geb. Dat.;Wettkampf;Ort;Datum
1;24.44;-0.1;2h1;Cynthia Reinle;SUI;06.05.2000;SM Aktive;Basel;24.08.2019
100 m Hürden 84.0
Nr;Resultat;Wind;Rang;Name;Nat.;Geb. Dat.;Wettkampf;Ort;Datum
1;14.73;-0.3;1r1;Cynthia Reinle;SUI;06.05.2000;8. RAIFFEISEN-Sommermeeting;Sarnen;17.08.2019
Weit
Nr;Resultat;Wind;Rang;Name;Nat.;Geb. Dat.;Wettkampf;Ort;Datum
1;5.49;0.6;1 ;Cynthia Reinle;SUI;06.05.2000;8. RAIFFEISEN-Sommermeeting;Sarnen;17.08.2019
2;5.35;1.1;17 ;Martina Winterberger;SUI;29.01.2003;Meeting de la Gruyère;Bulle;07.07.2019
3;4.53;-0.4;19 ;Ladina Reist;SUI;28.07.2005;Offene Berner Meisterschaften;Thun;15.06.2019
