Geb. Dat.;Geburtsdatum: 06.05.2000; 
100 m; 
Nr;Resultat;Wind;Rang;Name;Verein;Wettkampf;Ort;Datum; 
1;11.71;0.5;5sf1;Cynthia Reinle;TV Unterseen;European Athletics U20 Championship;Boras, SWE;18.07.2019; 
2;11.72;0.8;3h1;Cynthia Reinle;TV Unterseen;7. Thuner Athletics Night / Int. Abendmeeting;Thun;19.06.2019; 
3;11.74;0.6;5fA;Cynthia Reinle;TV Unterseen;26. Bauhaus Juniorengala;Mannheim,GER;29.06.2019; 
4;11.77;1.2;32;Cynthia Reinle;TV Unterseen;European Athletics U20 Championship;Boras, SWE;18.07.2019; 
5;11.80;0.4;1A;Cynthia Reinle;TV Unterseen;SM U20/U23;Winterthur;07.09.2019; 
6;11.81;1.4;2D;Cynthia Reinle;TV Unterseen;Meeting de la Gruyère;Bulle;07.07.2019; 
7;11.92;-0.6;2r4;Cynthia Reinle;TV Unterseen;AtletiCAGenève;Genève;15.06.2019; 
8;11.92;0.0;6r1;Cynthia Reinle;TV Unterseen;CITIUS Meeting;Bern;03.08.2019; 
9;11.95;1.0;2h1;Cynthia Reinle;TV Unterseen;Meeting de la Gruyère;Bulle;07.07.2019; 
10;11.96;0.3;2h2;Cynthia Reinle;TV Unterseen;44. Pfingstmeeting;Zofingen;08.06.2019; 
11;11.98;-1.0;3A;Cynthia Reinle;TV Unterseen;7. Thuner Athletics Night / Int. Abendmeeting;Thun;19.06.2019; 
12;11.98;-0.2;3sf1;Cynthia Reinle;TV Unterseen;SM Aktive;Basel;23.08.2019; 
13;11.99;0.6;2h2;Cynthia Reinle;TV Unterseen;SM Aktive;Basel;23.08.2019; 
14;12.06;-0.2;7A;Cynthia Reinle;TV Unterseen;SM Aktive;Basel;23.08.2019; 
15;12.08;-0.9;1sf2;Cynthia Reinle;TV Unterseen;SM U20/U23;Winterthur;07.09.2019; 
16;12.10;-1.5;1r1;Cynthia Reinle;TV Unterseen;Raiffeisen Frühjahrsmeeting;Sarnen;30.05.2019; 
17;12.11;-1.4;6A;Cynthia Reinle;TV Unterseen;44. Pfingstmeeting;Zofingen;08.06.2019; 
18;12.18;-1.1;3r1;Cynthia Reinle;TV Unterseen;Hürden- und Sprintmeeting;Basel;18.05.2019; 
19;12.40;-1.9;1h5;Cynthia Reinle;TV Unterseen;SM U20/U23;Winterthur;07.09.2019; 
150 m; 
Nr;Resultat;Wind;Rang;Name;Verein;Wettkampf;Ort;Datum; 
1;18.03;1.0;1r3;Cynthia Reinle;TV Unterseen;Hürden- und Sprintmeeting;Basel;18.05.2019; 
200 m; 
Nr;Resultat;Wind;Rang;Name;Verein;Wettkampf;Ort;Datum; 
1;24.44;-0.1;2h1;Cynthia Reinle;TV Unterseen;SM Aktive;Basel;24.08.2019; 
2;24.45;1.7;6zf2;Cynthia Reinle;TV Unterseen;26. Bauhaus Juniorengala;Mannheim,GER;30.06.2019; 
3;24.62;0.3;1r1;Cynthia Reinle;TV Unterseen;8. RAIFFEISEN-Sommermeeting;Sarnen;17.08.2019; 
4;24.67;-2.1;2r1;Cynthia Reinle;TV Unterseen;7. Thuner Athletics Night / Int. Abendmeeting;Thun;19.06.2019; 
5;24.71;1.2;7A;Cynthia Reinle;TV Unterseen;SM Aktive;Basel;24.08.2019; 
6;24.77;-0.6;3A;Cynthia Reinle;TV Unterseen;SM U20/U23;Winterthur;08.09.2019; 
7;25.19;-3.0;1r1;Cynthia Reinle;TV Unterseen;Raiffeisen Frühjahrsmeeting;Sarnen;30.05.2019; 
8;25.55;-0.2;2h1;Cynthia Reinle;TV Unterseen;SM U20/U23;Winterthur;08.09.2019; 
100 m Hürden 84.0; 
Nr;Resultat;Wind;Rang;Name;Verein;Wettkampf;Ort;Datum; 
1;14.73;-0.3;1r1;Cynthia Reinle;TV Unterseen;8. RAIFFEISEN-Sommermeeting;Sarnen;17.08.2019; 
2;14.99;-0.6;1r1;Cynthia Reinle;TV Unterseen;Raiffeisen Frühjahrsmeeting;Sarnen;30.05.2019; 
3;16.12;1.3;5r3;Cynthia Reinle;TV Unterseen;Hürden- und Sprintmeeting;Basel;18.05.2019; 
Weit; 
Nr;Resultat;Wind;Rang;Name;Verein;Wettkampf;Ort;Datum; 
1;5.49;0.6;1 ;Cynthia Reinle;TV Unterseen;8. RAIFFEISEN-Sommermeeting;Sarnen;17.08.2019; 
